number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,critical_temp,Superconductivity Type
1,207.2,715.2,154,11340,36.6,4.77,35,4,7.172,1
2,161.009,636.6,155,9325,33.5,4.015,58.5,3.5,7.173,1
1,207.2,715.2,154,11340,36.6,4.77,35,4,7.175,1
2,98.515,697.55,184,11325,88.1,30.85,129.5,6,7.18,1
2,140.92,735.95,188,15375,67.3,29,110.5,6,7.18,1
5,95.577694,885.52,138.6,8461.6858,88.24,14.8044,58.405316,3.8,7.18,1
3,89.35365667,679.1333333,161.3333333,6948.666667,95.8,27.4,94.33333333,4.333333333,7.18,1
2,161.009,636.6,155,9325,33.5,4.015,58.5,3.5,7.181,1
3,126.6971567,597.1666667,186,8401.666667,67.93333333,12.5,48,4.333333333,7.181,1
1,207.2,715.2,154,11340,36.6,4.77,35,4,7.186,1
1,207.2,715.2,154,11340,36.6,4.77,35,4,7.19,1
1,207.2,715.2,154,11340,36.6,4.77,35,4,7.193,1
3,126.6971567,597.1666667,186,8401.666667,67.93333333,12.5,48,4.333333333,7.194,1
1,207.2,715.2,154,11340,36.6,4.77,35,4,7.195,1
5,121.72102,730.44,168.2,5097.4858,67.43,5.2444,32.205316,2.8,7.2,1
5,121.72102,730.44,168.2,5097.4858,67.43,5.2444,32.205316,2.8,7.2,1
5,35.61323386,879.6,131.2,2296.5286,134.214,5.5324,148.007096,2.4,7.2,1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,7.2,1
3,84.34416667,612.5,194.3333333,2823.333333,52.36,22.06666667,67.66666667,2.666666667,7.2,1
3,90.31641067,754.2,157,6779.666667,74.93333333,10.88,44.412,4.666666667,7.2,1
2,17.9968603,738,115,2274,22.75,9.325,212.5,2.5,7.2,1
2,107.0705,617.55,160.5,5937.5,48.85,3.885,60,2.5,7.2,1
2,201.142,791.65,165.5,16395,121.7,12.385,53,5,7.2,1
2,84.8135,745.55,154.5,5602,56.9,19.2,23,4.5,7.2,1
2,49.40425,653.95,173.5,5308.5,30.6,20.75,26.5,4.5,7.2,1
2,55.9797,998.95,119,5140.7145,107.95,18.111,69.51329,4,7.2,1
2,139.55669,711.35,193,14795,51.8,29.9,51,6,7.2,1
3,50.55233333,732.0333333,135.6666667,4587.666667,102.5666667,34.93333333,80.33333333,4.333333333,7.2,1
2,143.095,752.3,187.5,16435,90.5,33.5,113,6,7.2,1
2,115.0948846,605.4,172,6154,45.45,3.685,87.5,2.5,7.2,1
2,70.38669,660.7,187,6538.5,48.35,22.75,38,4.5,7.2,1
3,77.33246,660.3666667,193.3333333,6529.333333,46.43333333,22.16666667,33,4.333333333,7.2,1
5,61.541459,792.24,136.2,6318.8,82.76,41.66,74.6,3.2,7.2,1
5,61.075723,790.84,136.2,6264.6,82.76,41.08,74.8,3.2,7.2,1
3,131.5565,676.9,180,8776.666667,90.5,12.13333333,85.33333333,4.333333333,7.2,1
3,52.27897067,713.7666667,149.6666667,5938.333333,50.2,30.56666667,54.33333333,4,7.2,1
3,48.84813333,739.5,146.3333333,6535.333333,78.3,13,217,2,7.2,1
4,38.48557375,829.325,128.25,5451.5,83.9,36.775,122.75,3,7.2,1
3,31.6697,853.0666667,120.3333333,4302,90.13333333,43.63333333,130.3333333,2.666666667,7.2,1
3,79.7915,645.6666667,150.6666667,6441.333333,63.76666667,11.79666667,42.33333333,4,7.2,1
2,118.57425,704.6,179.5,13565,34.05,27.9,39.5,6,7.2,1
2,85.93319,802,150.5,6694.5,142.05,16.1,27.26,5.5,7.2,1
1,207.2,715.2,154,11340,36.6,4.77,35,4,7.2,1
2,67.4025,849.75,129.5,6346.5,106.85,9.6,39.76,4.5,7.2,1
4,74.7668405,804.75,155.25,4733.5,46.1625,12.535,36.809,3.75,7.2,1
4,69.32994875,753.1,160.25,6282.75,42.1075,16.425,66,3.5,7.2,1
3,77.33246,660.3666667,193.3333333,6529.333333,46.43333333,22.16666667,33,4.333333333,7.21,1
5,60.92382,792.44,137,6113.6,73.16,41.18,70.4,3,7.21,1
2,162.955,711.7,149.5,9325,72.7,5.885,51,4,7.213,1
2,208.0902,709.05,148.5,10560,64.65,7.835,21.5,4.5,7.214,1
3,206.8545667,669,151,10990,50,6.623333333,29.66666667,4,7.214,1
1,207.2,715.2,154,11340,36.6,4.77,35,4,7.22,1
4,60.430908,906.125,124.25,3961.10725,70.425,5.2405,23.065645,3.25,7.22,1
4,89.6417175,784.825,143.25,5449.10725,90.85,6.2805,106.006645,2.75,7.225,1
2,141.7205,763.9,193,14535.5,97.55,23.5,86.5,5,7.23,1
2,124.68,851.15,128,6468.5,148.2,18.6,13.5,5.5,7.24,1
3,144.5927333,717.9666667,154.6666667,9713.333333,90.83333333,7.69,177.3333333,3,7.25,1
2,138.37319,716.65,195.5,13910,83.85,30.9,112,5.5,7.25,1
1,208.9804,702.9,143,9780,92.7,10.9,8,5,7.25,1
3,50.35256667,805.4666667,160.3333333,3712.476333,88.6,12.85066667,79.67552667,3,7.25,1
2,162.955,711.7,149.5,9325,72.7,5.885,51,4,7.268,1
2,46.95716,987.45,125.5,4285.04495,80.95,13.679,27.09025,3,7.28,1
4,113.9455025,653.125,176,8497.75,58.5,28.625,45,3.75,7.28,1
3,71.83666667,875.7,122,5358,136.8,11.01,27.40166667,5,7.28,1
4,76.797975,656.575,191.5,4491.75,40.5125,12.9575,61.75,2.75,7.28,1
4,38.48557375,829.325,128.25,5451.5,83.9,36.775,122.75,3,7.29,1
2,164.48,774.25,143.5,9018.5,70.65,12.235,29.5,4.5,7.29,1
4,92.90635,786.275,152.25,5223.60725,91.35,7.0305,106.256645,2.75,7.3,1
5,84.567319,777.56,147.2,6312.0858,86.12,8.4244,105.605316,3,7.3,1
5,74.290174,810.8,149.8,4975.4858,63.986,6.9944,113.605316,2.2,7.3,1
4,70.9577175,876.25,132.5,5561.85725,78.35,6.743,133.256645,2.25,7.3,1
4,45.71635,714.95,143,5981.5,64.5,21.725,68.5,2.5,7.3,1
3,31.71501287,650.8666667,141,2193.333333,60.99,23.14666667,195,3,7.3,1
3,127.3525667,871.5,149.3333333,14176.66667,83.83333333,57.66666667,119.3333333,5.666666667,7.3,1
2,182.3485,667.15,198,17165,8.75,29.25,35.5,5.5,7.3,1
2,116.764,633.1,150.5,7310,69.6,5.13,74.5,3.5,7.3,1
2,85.93319,802,150.5,6694.5,142.05,16.1,27.26,5.5,7.3,1
2,143.37275,744.6,183,15850,95.65,28.35,160,6,7.3,1
3,78.41979333,667.4333333,153,6599,79.5,21.39666667,47.66666667,4,7.3,1
3,64.17263953,666.9333333,147,5531,84.03333333,23.1,116.3333333,4,7.3,1
3,63.90496,657.1666667,181.6666667,6395.666667,49.6,22.76666667,35.66666667,4.666666667,7.3,1
3,78.91112667,668.7333333,188,7785.666667,56.7,27.16666667,71.66666667,5,7.3,1
3,31.6697,853.0666667,120.3333333,4302,90.13333333,43.63333333,130.3333333,2.666666667,7.3,1
3,31.6697,853.0666667,120.3333333,4302,90.13333333,43.63333333,130.3333333,2.666666667,7.3,1
5,60.92382,792.44,137,6113.6,73.16,41.18,70.4,3,7.3,1
5,82.74638,745.86,150.6,6274,80.02,40.84,57,3,7.3,1
2,49.40425,653.95,173.5,5308.5,30.6,20.75,26.5,4.5,7.3,1
2,163.8452,705.55,144,8545,100.75,8.95,37.5,4.5,7.3,1
3,58.89723333,872.4333333,129.3333333,3939.417,16,7.44,34.67527667,3.333333333,7.3,1
3,31.6697,853.0666667,120.3333333,4302,90.13333333,43.63333333,130.3333333,2.666666667,7.3,1
4,76.797975,656.575,191.5,4491.75,40.5125,12.9575,61.75,2.75,7.3,1
3,76.001254,802.1,155.3333333,8157.666667,82.9,20.78,86.412,5.666666667,7.31,1
5,60.92382,792.44,137,6113.6,73.16,41.18,70.4,3,7.31,1
4,113.9455025,653.125,176,8497.75,58.5,28.625,45,3.75,7.31,1
4,111.476455,668.675,178,8192.75,60.6,27.15,52,3.75,7.32,1
4,60.430908,906.125,124.25,3961.10725,70.425,5.2405,23.065645,3.25,7.32,1
3,76.81314667,845.5333333,144,6473.3633,42.63333333,16.286,18.06016667,3.333333333,7.33,1
3,95.13436,880.1,154,7293.750333,32.53333333,17.55333333,25.67527667,4,7.33,1
2,54.45289,988.35,123,4285.7145,115.05,13.511,27.01329,3.5,7.33,1
2,163.8452,705.55,144,8545,100.75,8.95,37.5,4.5,7.34,1
3,52.27897067,713.7666667,149.6666667,5938.333333,50.2,30.56666667,54.33333333,4,7.34,1
4,112.33695,647.625,177.5,8305.5,58.5,27.2,43.5,3.75,7.34,1
2,208.0902,709.05,148.5,10560,64.65,7.835,21.5,4.5,7.35,1
2,53.71397,1057.4,111,6011.54495,64.75,8.629,35.59025,2.5,7.355,1
4,118.298125,742.2,166.5,11634,85.85,29.4,85.5,4.5,7.37,1
2,85.93319,802,150.5,6694.5,142.05,16.1,27.26,5.5,7.38,1
2,46.95716,987.45,125.5,4285.04495,80.95,13.679,27.09025,3,7.38,1
4,91.48215,790.7,160.25,9150.25,76.8425,17.51,100,4,7.38,1
2,208.0902,709.05,148.5,10560,64.65,7.835,21.5,4.5,7.388,1
2,53.71397,1057.4,111,6011.54495,64.75,8.629,35.59025,2.5,7.39,1
5,61.258862,794.04,136.2,6164.4,73.16,40.56,70.8,3,7.39,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,7.4,1
3,88.02603333,811.5,144.6666667,3545.809667,95.03333333,4.484,36.00886,2.666666667,7.4,1
2,53.98535,885.25,128.5,6270,114.4,70.5,139.5,5,7.4,1
3,65.53946,693.5,176.6666667,6983.666667,37.96666667,19.76666667,51.66666667,4,7.4,1
3,87.51929333,673.9666667,171.3333333,7330,82.83333333,18.86666667,50.66666667,4.666666667,7.4,1
2,70.38669,660.7,187,6538.5,48.35,22.75,38,4.5,7.4,1
2,138.7155,709.4,197,13765.5,29.3,27,35.5,5.5,7.4,1
3,49.58333333,671.6,139.3333333,4781.333333,72.53333333,26.19666667,70,4,7.4,1
3,88.53596,715.6666667,167.3333333,7125.666667,81.46666667,23.1,36.33333333,5,7.4,1
3,130.2986267,750.4,182.6666667,14156.66667,135.2,22.83333333,91.66666667,5.666666667,7.4,1
3,77.33246,660.3666667,193.3333333,6529.333333,46.43333333,22.16666667,33,4.333333333,7.4,1
3,63.90496,657.1666667,181.6666667,6395.666667,49.6,22.76666667,35.66666667,4.666666667,7.4,1
3,107.24042,693.8333333,191.3333333,9909,43.06666667,27.16666667,44.33333333,4.666666667,7.4,1
3,78.91112667,668.7333333,188,7785.666667,56.7,27.16666667,71.66666667,5,7.4,1
3,64.17263953,666.9333333,147,5531,84.03333333,23.1,116.3333333,4,7.4,1
5,65.53419,766.34,149.6,5200.2,75.94,38.72,57.2,3,7.4,1
3,31.6697,853.0666667,120.3333333,4302,90.13333333,43.63333333,130.3333333,2.666666667,7.4,1
1,127.6,869,123,6240,191.7,17.5,3,6,7.4,1
1,12.0107,1085.7,67,2260,155.4,105,140,4,7.4,1
3,159.0836667,770.6666667,185,17583.33333,98.73333333,29.66666667,86,6.333333333,7.4,1
3,159.0836667,770.6666667,185,17583.33333,98.73333333,29.66666667,86,6.333333333,7.4,1
5,60.92382,792.44,137,6113.6,73.16,41.18,70.4,3,7.4,1
2,187.2295,648.1,190,10203,44.05,12.335,25,3.5,7.4,1
4,45.71635,714.95,143,5981.5,64.5,21.725,68.5,2.5,7.4,1
4,81.69675,736,168,6504.75,56.4125,16.675,59.5,3,7.4,1
4,60.430908,906.125,124.25,3961.10725,70.425,5.2405,23.065645,3.25,7.4,1
4,69.27,747.625,159.5,6284.75,54.1825,16.675,63.75,3,7.4,1
2,85.93319,802,150.5,6694.5,142.05,16.1,27.26,5.5,7.4,1
4,81.75669875,741.475,168.75,6502.75,44.3375,16.425,61.75,3.5,7.4,1
4,91.0134,723.15,178.25,6847.75,46.3875,21.375,71.5,4,7.4,1
3,26.01893596,619.6,139.6666667,1999.333333,77.8,21.16666667,175,2.666666667,7.4,1
3,104.1425873,830.2333333,163,10308,74.23333333,17.54666667,36.74533333,5,7.4,1
3,72.522475,653.0333333,165,7314.666667,39.83333333,15.19666667,30.23333333,4,7.42,1
4,38.48557375,829.325,128.25,5451.5,83.9,36.775,122.75,3,7.42,1
2,136.92713,711.85,199,12610,60.05,31.4,55.5,5,7.42,1
5,77.070178,747.44,144.8,5713.8,79.62,39.1,57.4,3,7.44,1
3,104.1425873,830.2333333,163,10308,74.23333333,17.54666667,36.74533333,5,7.44,1
2,53.3855,742.5,138.5,6370,50.8,43,83,4.5,7.45,1
2,116.764,633.1,150.5,7310,69.6,5.13,74.5,3.5,7.45,1
2,162.955,711.7,149.5,9325,72.7,5.885,51,4,7.45,1
1,98,702.2,183,11500,54.5,23,51,6,7.46,1
2,49.40425,653.95,173.5,5308.5,30.6,20.75,26.5,4.5,7.46,1
3,41.39066667,707.8666667,141,5006,48.16666667,23.23333333,61,2.666666667,7.46,1
6,62.93010117,885.7166667,135.8333333,5160.904833,71.4,10.91033333,40.37709667,3.833333333,7.46,1
2,49.40425,653.95,173.5,5308.5,30.6,20.75,26.5,4.5,7.46,1
2,49.40425,653.95,173.5,5308.5,30.6,20.75,26.5,4.5,7.49,1
4,91.48215,790.7,160.25,9150.25,76.8425,17.51,100,4,7.49,1
4,37.78838465,675.2,135.25,4429.5,47.125,20.1,104.5,2.75,7.49,1
3,124.6941667,842.6666667,152,13276.33333,153.4,17.7,100.1733333,6,7.49,1
4,94.03645,827.5,138.75,5342.85725,90.4075,8.0555,110.756645,2.75,7.5,1
5,130.5410504,731.14,172.4,5126.0858,65.066,5.1964,22.805316,2.8,7.5,1
4,92.90635,786.275,152.25,5223.60725,91.35,7.0305,106.256645,2.75,7.5,1
5,100.003974,726.64,169.4,5125.4858,75.77,6.9444,89.605316,2.4,7.5,1
5,103.56381,743.8,171.6,6038.2858,83.38,7.1444,87.005316,3,7.5,1
4,94.03645,827.5,138.75,5342.85725,90.4075,8.0555,110.756645,2.75,7.5,1
5,103.010254,770.22,150,5503.4858,82.226,7.7044,91.205316,2.8,7.5,1
3,41.39066667,707.8666667,141,5006,48.16666667,23.23333333,61,2.666666667,7.5,1
4,45.71635,714.95,143,5981.5,64.5,21.725,68.5,2.5,7.5,1
2,32.4741,1025.8,113.5,3055.6255,30.3,11.58,15.512915,4,7.5,1
5,52.14440704,1060.9,107.8,3169.225,122.24,4.2444,18.458056,2.8,7.5,1
3,146.107,763.5333333,153.3333333,9100,48.96666667,6.023333333,66,3.333333333,7.5,1
2,105.80819,685.9,171.5,7940,98.2,16.9,60.5,4.5,7.5,1
3,52.72163333,874.3,141.6666667,4207.476333,79.06666667,14.674,18.00886,3.666666667,7.5,1
2,98.822,731.6,187.5,9267,48.9,18.85,47,4,7.5,1
2,142.455,740,185.5,15810,91.45,30.35,145,6,7.5,1
3,61.81566667,746.5333333,150.3333333,6821,80.8,29.9,84,4.333333333,7.5,1
3,86.92683333,589.6333333,164,6234.333333,44.66666667,11.29666667,23.66666667,4,7.5,1
3,96.30619333,843.5333333,152.3333333,9730,87.1,59,112,5,7.5,1
2,52.45854,874.65,132.5,5415,121.5,65.9,97,4.5,7.5,1
3,77.33246,660.3666667,193.3333333,6529.333333,46.43333333,22.16666667,33,4.333333333,7.5,1
3,94.46902667,774.8333333,157.6666667,8046.666667,81.5,52.43333333,72.33333333,4.333333333,7.5,1
3,77.33246,660.3666667,193.3333333,6529.333333,46.43333333,22.16666667,33,4.333333333,7.5,1
3,77.33246,660.3666667,193.3333333,6529.333333,46.43333333,22.16666667,33,4.333333333,7.5,1
3,63.90496,657.1666667,181.6666667,6395.666667,49.6,22.76666667,35.66666667,4.666666667,7.5,1
5,83.79638,740.42,149.6,6404,80.02,41.06,57,3,7.5,1
4,61.611355,799.025,132.25,5605.75,87.15,47.3,68.5,3,7.5,1
5,63.083019,778.64,134.4,6473.8,82.76,42.08,74.8,3.2,7.5,1
3,93.22666667,613.7333333,171.3333333,4912.333333,55.45,15.13,35.66666667,3,7.5,1
4,31.86938465,755.125,123,3509.5,18.8,19.1875,135.5,2.5,7.5,1
3,89.35365667,679.1333333,161.3333333,6948.666667,95.8,27.4,94.33333333,4.333333333,7.5,1
2,49.40425,653.95,173.5,5308.5,30.6,20.75,26.5,4.5,7.5,1
2,49.858425,707.8,149.5,3466,29.65,30.7,22,3,7.5,1
3,39.5939,856.9,114.6666667,5000,85.66666667,63.66666667,102,4.333333333,7.5,1
2,108.86,759.05,161.5,8488.5,89.05,27.85,81.5,5.5,7.5,1
3,73.24502667,769.1,140.3333333,6046.666667,91.13333333,45.02,92,4,7.5,1
2,141.7205,763.9,193,14535.5,97.55,23.5,86.5,5,7.5,1
4,81.69675,736,168,6504.75,56.4125,16.675,59.5,3,7.5,1
5,71.16388,858.94,141,5972.6858,80.84,13.4844,46.605316,3,7.5,1
2,49.858425,707.8,149.5,3466,29.65,30.7,22,3,7.5,1
7,64.07339546,938.8142857,132.5714286,4527.446429,92.97142857,10.41171429,23.82204,3,7.5,1
2,39.5135,718.05,141,4220,93.6,36.5,90.5,4.5,7.51,1
3,65.99833333,714.9,161,6417,48.06666667,35.66666667,63,4.333333333,7.51,1
2,49.40425,653.95,173.5,5308.5,30.6,20.75,26.5,4.5,7.52,1
2,140.92,735.95,188,15375,67.3,29,110.5,6,7.52,1
5,63.3290464,914.14,122.2,4314.2858,72.24,9.7324,28.452516,3.6,7.52,1
2,114.40744,708.95,188,10578.5,20.8,27.35,39.5,4.5,7.53,1
4,112.94453,649.375,177,8366.5,58.5,28.675,44.75,3.75,7.53,1
4,53.17239107,739.75,153,5867.25,54.05,15.075,92.25,3.25,7.53,1
5,83.79638,740.42,149.6,6404,80.02,41.06,57,3,7.54,1
5,78.481359,774.34,163.4,6630.2,35.77,14.61,73.4,3.2,7.54,1
4,105.0244405,807.95,165.75,9481.5,85.2575,11.335,44.309,4.25,7.54,1
3,107.24042,693.8333333,191.3333333,9909,43.06666667,27.16666667,44.33333333,4.666666667,7.55,1
3,161.3988067,552.2,199.3333333,8212,40.56666667,5.8,24,3.333333333,7.55,1
2,51.85869,731.9,142.5,5515,57.9,38.4,40.5,4,7.56,1
3,59.86589833,662.3,153,6971.333333,49.23333333,14.86333333,53.33333333,4,7.56,1
4,118.298125,742.2,166.5,11634,85.85,29.4,85.5,4.5,7.56,1
4,45.71635,714.95,143,5981.5,64.5,21.725,68.5,2.5,7.58,1
4,142.3767,808.425,149.5,6157.85725,71.8125,5.973,15.256645,3.25,7.6,1
6,84.711145,759.7166667,166,4802.904833,55.45333333,7.077,121.1710967,2.166666667,7.6,1
5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,7.6,1
5,79.171174,738.22,167,4033.4858,66.244,7.2324,126.205316,2.2,7.6,1
3,41.39066667,707.8666667,141,5006,48.16666667,23.23333333,61,2.666666667,7.6,1
5,67.070254,762.3,148.2,5379,75.94,40.12,58.2,3,7.6,1
2,114.71575,612.65,189.5,9710,26.8,24.15,27,4.5,7.6,1
3,45.35206667,852.1666667,122.6666667,4956.666667,121.3,63.73333333,143,4.666666667,7.6,1
1,69.723,578.7,136,5904,30.4,5.59,29,3,7.6,1
2,103.86219,610.8,177,7940,59,15.03,68,4,7.6,1
3,125.02446,702.5,192,13290,59,31.93333333,80.33333333,6,7.6,1
2,95.45319,682.9,190.5,10035,71.05,24.9,52.5,5.5,7.6,1
3,63.90496,657.1666667,181.6666667,6395.666667,49.6,22.76666667,35.66666667,4.666666667,7.6,1
2,92.06519,661.65,202,7540.5,65.1,23.9,38.5,4.5,7.6,1
2,94.612,680.95,194.5,9005.5,48.55,22,37,5,7.6,1
3,63.34416667,655.8666667,184.3333333,5709.333333,34.6,20.83333333,25.33333333,4.333333333,7.6,1
3,94.74879333,710.6,156,7067.666667,105.6333333,21.86666667,60.33333333,4.333333333,7.6,1
3,45.35206667,852.1666667,122.6666667,4956.666667,121.3,63.73333333,143,4.666666667,7.6,1
3,63.857,809.6,140.6666667,7066.666667,131.6,16.94333333,179.735,4.666666667,7.6,1
4,61.611355,799.025,132.25,5605.75,87.15,47.3,68.5,3,7.6,1
2,144.9364745,776.45,186,13935,155.95,19.65,187,5,7.6,1
3,45.66069333,916.1,117.3333333,4263.333333,148.1666667,44.51,64.735,5,7.6,1
3,89.35365667,679.1333333,161.3333333,6948.666667,95.8,27.4,94.33333333,4.333333333,7.6,1
3,50.1843462,662.4333333,138,4711,72.2,21.76666667,108.6666667,4,7.6,1
3,89.35365667,679.1333333,161.3333333,6948.666667,95.8,27.4,94.33333333,4.333333333,7.6,1
2,108.932735,740.75,149,5482.5,123,5.85,6.76,4.5,7.6,1
3,66.92895,708.6333333,159,6434,54.03333333,29.03333333,54.66666667,4,7.6,1
3,74.42258733,793.7333333,160.6666667,6901.333333,72.63333333,15.78,47.74533333,5,7.6,1
2,67.4025,849.75,129.5,6346.5,106.85,9.6,39.76,4.5,7.6,1
3,41.39066667,707.8666667,141,5006,48.16666667,23.23333333,61,2.666666667,7.61,1
4,109.556375,673.725,179.75,7969.25,60.6,25.4,50.75,3.75,7.61,1
3,124.6941667,842.6666667,152,13276.33333,153.4,17.7,100.1733333,6,7.61,1
2,141.0835,721.95,189,15650,44.7,34.5,93.5,6.5,7.62,1
5,83.23184064,1047.02,101,3686.425,163.54,3.7224,3.851856,3.6,7.62,1
3,47.31053167,743.8666667,148.6666667,6515.333333,60.06666667,14.03333333,117,2.666666667,7.63,1
3,31.6697,853.0666667,120.3333333,4302,90.13333333,43.63333333,130.3333333,2.666666667,7.63,1
3,88.91766667,657.9333333,168,9518,68.86666667,22.43,96,5,7.63,1
2,94.43319,674.2,194,9425,80.5,31.4,96.5,5.5,7.63,1
4,110.056303,699.475,173,9429,89.675,28.55,83,4,7.63,1
2,108.932735,740.75,149,5482.5,123,5.85,6.76,4.5,7.63,1
4,110.056303,699.475,173,9429,89.675,28.55,83,4,7.64,1
3,68.49683333,625.9666667,186,2463.333333,51.47333333,22.24666667,122.6666667,2.666666667,7.65,1
4,49.16019875,745.825,147.25,5759,55.75,15.175,78.5,3.25,7.66,1
3,31.71501287,650.8666667,141,2193.333333,60.99,23.14666667,195,3,7.67,1
4,110.056303,699.475,173,9429,89.675,28.55,83,4,7.68,1
4,45.71635,714.95,143,5981.5,64.5,21.725,68.5,2.5,7.69,1
3,31.6697,853.0666667,120.3333333,4302,90.13333333,43.63333333,130.3333333,2.666666667,7.69,1
2,70.38669,660.7,187,6538.5,48.35,22.75,38,4.5,7.69,1
4,110.056303,699.475,173,9429,89.675,28.55,83,4,7.69,1
5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,7.7,1
4,45.71635,714.95,143,5981.5,64.5,21.725,68.5,2.5,7.7,1
3,31.71501287,650.8666667,141,2193.333333,60.99,23.14666667,195,3,7.7,1
3,78.63106667,804.7666667,147.3333333,7576.666667,134,16.34333333,189.735,4.333333333,7.7,1
2,208.0902,709.05,148.5,10560,64.65,7.835,21.5,4.5,7.7,1
3,95.1024,828.5333333,168.6666667,6927.809667,90.33333333,12.47066667,76.00886,3,7.7,1
2,53.98535,885.25,128.5,6270,114.4,70.5,139.5,5,7.7,1
3,96.30619333,843.5333333,152.3333333,9730,87.1,59,112,5,7.7,1
3,77.33246,660.3666667,193.3333333,6529.333333,46.43333333,22.16666667,33,4.333333333,7.7,1
3,77.33246,660.3666667,193.3333333,6529.333333,46.43333333,22.16666667,33,4.333333333,7.7,1
3,77.33246,660.3666667,193.3333333,6529.333333,46.43333333,22.16666667,33,4.333333333,7.7,1
3,63.90496,657.1666667,181.6666667,6395.666667,49.6,22.76666667,35.66666667,4.666666667,7.7,1
3,63.34416667,655.8666667,184.3333333,5709.333333,34.6,20.83333333,25.33333333,4.333333333,7.7,1
5,61.876501,793.84,135.4,6369.6,82.76,41.04,75,3.2,7.7,1
3,78.63106667,804.7666667,147.3333333,7576.666667,134,16.34333333,189.735,4.333333333,7.7,1
3,131.5565,676.9,180,8776.666667,90.5,12.13333333,85.33333333,4.333333333,7.7,1
5,62.26572,752.82,152.4,4948,75.94,38.1,57.6,3.2,7.7,1
3,161.3988067,552.2,199.3333333,8212,40.56666667,5.8,24,3.333333333,7.7,1
2,71.08275,654.9,188.5,6310.5,47.35,21.9,27,4.5,7.7,1
2,136.08594,709.9,203,11580.5,37.55,28.5,40,4.5,7.7,1
3,66.92895,708.6333333,159,6434,54.03333333,29.03333333,54.66666667,4,7.7,1
3,134.2654667,1026.066667,135.6666667,11518.47633,53.33333333,11.83733333,18.77552667,3.666666667,7.7,1
1,28.0855,786,111,2330,135.1,50.2,150,4,7.7,1
3,59.89509333,728.6,152.6666667,6602.666667,112.0666667,31.4,98.33333333,3.666666667,7.7,1
1,98,702.2,183,11500,54.5,23,51,6,7.71,1
4,74.7668405,804.75,155.25,4733.5,46.1625,12.535,36.809,3.75,7.73,1
5,63.3290464,914.14,122.2,4314.2858,72.24,9.7324,28.452516,3.6,7.73,1
4,80.15667375,693.8,166,7552.5,72.2675,13.36,129.25,4,7.73,1
4,116.974825,731.775,158.25,10013.5,114.9,32.5,94,4.25,7.74,1
3,120.87346,632.8333333,204,9463.666667,43.9,24.43333333,33.33333333,4.333333333,7.75,1
2,162.955,711.7,149.5,9325,72.7,5.885,51,4,7.75,1
4,37.78838465,675.2,135.25,4429.5,47.125,20.1,104.5,2.75,7.75,1
5,45.870829,799.12,133.4,5400,78.68,39.96,75,3.2,7.76,1
4,101.7497675,687.225,179.5,5814.25,40.4125,13.95,40,3.25,7.76,1
1,98,702.2,183,11500,54.5,23,51,6,7.77,1
2,85.93319,802,150.5,6694.5,142.05,16.1,27.26,5.5,7.77,1
4,61.611355,799.025,132.25,5605.75,87.15,47.3,68.5,3,7.77,1
3,78.63106667,804.7666667,147.3333333,7576.666667,134,16.34333333,189.735,4.333333333,7.77,1
3,107.24042,693.8333333,191.3333333,9909,43.06666667,27.16666667,44.33333333,4.666666667,7.78,1
1,98,702.2,183,11500,54.5,23,51,6,7.79,1
3,72.522475,653.0333333,165,7314.666667,39.83333333,15.19666667,30.23333333,4,7.79,1
7,99.00849,697.7571429,181.8571429,5533.489857,73.00428571,9.974571429,75.28951143,3.142857143,7.8,1
6,74.873875,747.35,172.1666667,4574.5715,55.44666667,9.087,91.50443,2.333333333,7.8,1
3,74.54236,819.1666667,136.6666667,6046.666667,117.2666667,46.26666667,87,4.333333333,7.8,1
2,208.0902,709.05,148.5,10560,64.65,7.835,21.5,4.5,7.8,1
3,124.14449,602.4333333,165.3333333,6922,62.9,5.52,54,3.333333333,7.8,1
2,108.932735,740.75,149,5482.5,123,5.85,6.76,4.5,7.8,1
3,63.90496,657.1666667,181.6666667,6395.666667,49.6,22.76666667,35.66666667,4.666666667,7.8,1
2,70.38669,660.7,187,6538.5,48.35,22.75,38,4.5,7.8,1
2,119.086881,863.2,126,6581.5,54.55,2.705,17.618,4.5,7.8,1
2,71.08275,654.9,188.5,6310.5,47.35,21.9,27,4.5,7.8,1
3,49.58333333,671.6,139.3333333,4781.333333,72.53333333,26.19666667,70,4,7.8,1
3,86.52332333,589.9666667,167.3333333,6053.333333,44,11.56333333,24.33333333,3.666666667,7.8,1
4,77.80697965,677.25,146.5,5975.75,90.225,19.075,104,4,7.8,1
3,94.46902667,774.8333333,157.6666667,8046.666667,81.5,52.43333333,72.33333333,4.333333333,7.8,1
2,49.40425,653.95,173.5,5308.5,30.6,20.75,26.5,4.5,7.8,1
4,61.611355,799.025,132.25,5605.75,87.15,47.3,68.5,3,7.8,1
